DIDI, sell, 57, 10.3, 2021-08-02T21:15:29.103404Z
JD, sell, 18, 78.65, 2021-08-31T15:58:00.771691Z
CCL, sell, 24, 24.07, 2021-08-31T16:00:30.83041Z
RCL, sell, 43, 82.91, 2021-08-31T16:00:35.292954Z
RCL, buy, 43, 82.78, 2021-08-31T16:03:27.474773Z
DASH, sell, 5, 193.09, 2021-08-31T16:04:19.783612Z
BIDU, sell, 4, 155.56, 2021-08-31T16:05:13.375866Z
LABU, sell, 7, 65.54, 2021-08-31T16:05:52.599812Z
RCL, buy, 44, 82.65, 2021-08-31T16:06:34.024415Z
JD, buy, 19, 78.38, 2021-08-31T16:08:56.338403Z
WYNN, sell, 6, 101.77, 2021-08-31T16:10:06.583134Z
DASH, buy, 5, 191.85, 2021-08-31T16:13:28.295551Z
FTCH, sell, 12, 41.92, 2021-08-31T16:15:09.067892Z
FTCH, sell, 12, 42.27, 2021-08-31T16:22:05.182789Z
RCL, sell, 44, 82.78, 2021-08-31T16:22:21.487224Z
JD, sell, 19, 78.64, 2021-08-31T16:25:11.628852Z
FNGU, sell, 16, 38.69, 2021-08-31T16:33:03.328697Z
PDD, sell, 5, 98.15, 2021-08-31T16:33:38.369973Z
TZA, buy, 21, 28.68, 2021-08-31T16:35:46.681629Z
AAL, sell, 18, 19.93, 2021-08-31T16:40:13.769314Z
DASH, buy, 5, 190.63, 2021-08-31T16:41:37.410691Z
FTCH, buy, 12, 41.91, 2021-08-31T16:42:32.789786Z
DIDI, buy, 62, 8.05, 2021-08-31T16:48:57.963474Z
RCL, buy, 10, 82.65, 2021-08-31T16:50:27.386204Z
RCL, sell, 43, 82.88, 2021-08-31T16:52:43.801145Z
BABA, sell, 7, 167.84, 2021-08-31T16:54:27.172791Z
CWEB, sell, 18, 22.66, 2021-08-31T16:54:47.572231Z
NCLH, sell, 25, 25.87, 2021-08-31T16:54:53.251583Z
RCL, sell, 6, 83.01, 2021-08-31T16:54:53.333945Z
RCL, sell, 11, 83.01, 2021-08-31T16:54:53.532753Z
RCL, sell, 27, 83.01, 2021-08-31T16:54:53.553548Z
RCL, sell, 3, 83.04, 2021-08-31T16:54:54.376934Z
RCL, sell, 3, 83.035, 2021-08-31T16:54:54.398082Z
RCL, sell, 39, 83.0307, 2021-08-31T16:54:54.419061Z
DASH, sell, 5, 191.89, 2021-08-31T17:02:38.867034Z
RCL, buy, 45, 83.01, 2021-08-31T17:02:56.523507Z
RCL, sell, 43, 83.14, 2021-08-31T17:06:02.572416Z
RCL, buy, 43, 83.01, 2021-08-31T17:09:19.838618Z
BIDU, sell, 4, 156.79, 2021-08-31T17:18:24.219113Z
JD, sell, 18, 78.89, 2021-08-31T17:19:18.47878Z
LABU, sell, 7, 66.13, 2021-08-31T17:21:44.12184Z
DIDI, sell, 62, 8.12, 2021-08-31T17:25:05.249874Z
RCL, sell, 43, 83.14, 2021-08-31T17:28:54.237388Z
PDD, sell, 5, 99.01, 2021-08-31T17:29:48.14305Z
NIO, sell, 11, 39.01, 2021-08-31T17:39:57.167915Z
RCL, sell, 2, 83.275, 2021-08-31T17:41:54.405487Z
RCL, sell, 42, 83.2703, 2021-08-31T17:41:54.798799Z
JD, buy, 18, 78.64, 2021-08-31T17:43:50.956917Z
RCL, sell, 1, 83.405, 2021-08-31T17:44:19.327623Z
RCL, sell, 36, 83.4002, 2021-08-31T17:44:19.350212Z
RCL, buy, 47, 83.24, 2021-08-31T17:55:23.685165Z
RCL, buy, 20, 83.07, 2021-08-31T18:05:48.230374Z
RCL, buy, 37, 83.07, 2021-08-31T18:05:48.955524Z
JD, sell, 18, 78.89, 2021-08-31T18:06:40.247666Z
DASH, buy, 5, 190.63, 2021-08-31T18:29:13.177285Z
PDD, buy, 5, 98.14, 2021-08-31T18:38:33.669601Z
BILI, buy, 13, 79.5, 2021-08-31T18:40:38.103793Z
JD, buy, 18, 78.64, 2021-08-31T18:40:41.416664Z
RCL, buy, 50, 82.73, 2021-08-31T18:42:59.748796Z
SQQQ, buy, 74, 7.31, 2021-08-31T18:59:25.621417Z
FTCH, buy, 12, 41.56, 2021-08-31T19:03:21.261576Z
BG, buy, 9, 75.55, 2021-08-31T19:05:29.039754Z
PDD, sell, 5, 99.01, 2021-08-31T19:07:15.000993Z
JD, buy, 19, 78.39, 2021-08-31T19:10:20.032178Z
BABA, buy, 7, 167.08, 2021-08-31T19:14:54.711848Z
JD, buy, 18, 78.14, 2021-08-31T19:16:40.279501Z
TZA, sell, 8, 28.89, 2021-08-31T19:21:42.241484Z
TZA, sell, 13, 28.89, 2021-08-31T19:21:42.27598Z
PDD, buy, 4, 98.14, 2021-08-31T19:21:55.652916Z
PDD, buy, 1, 98.14, 2021-08-31T19:21:55.679467Z
LABU, buy, 7, 65.52, 2021-08-31T19:23:39.22183Z
RCL, sell, 29, 82.92, 2021-08-31T19:25:54.701978Z
RCL, buy, 56, 82.67, 2021-08-31T19:30:50.650769Z
BILI, buy, 13, 79.14, 2021-08-31T19:32:08.595709Z
JD, buy, 19, 77.89, 2021-08-31T19:34:52.065973Z
RCL, buy, 58, 82.5, 2021-08-31T19:35:17.2146Z
NCLH, buy, 24, 25.69, 2021-08-31T19:35:17.243466Z
FNGU, buy, 15, 38.42, 2021-08-31T19:35:36.974344Z
